,Unnamed: 0,case_id,Hospital,Hospital_type,Hospital_city,Hospital_region,Available_Extra_Rooms_in_Hospital,Bed_Grade,patientid,City_Code_Patient,Patient_Visitors,Admission_Deposit,clusters
min,70.0,71.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,1.0,1.0,1929.0,4.0
25%,81323.75,81324.75,13.0,0.0,2.0,0.0,2.0,2.0,30995.25,5.0,2.0,4048.0,4.0
50%,145414.5,145415.5,19.0,0.0,6.0,1.0,3.0,2.0,64461.5,8.0,3.0,4595.5,4.0
75%,229861.75,229862.75,26.0,2.0,7.0,1.0,4.0,2.0,97915.25,8.0,4.0,5188.0,4.0
max,318095.0,318096.0,32.0,6.0,13.0,2.0,11.0,2.0,131555.0,35.0,18.0,9860.0,4.0
count,1279.0,1279.0,1279.0,1279.0,1279.0,1279.0,1279.0,1277.0,1279.0,1263.0,1279.0,1279.0,1279.0
mean,191854.98045347928,191855.98045347928,17.743549648162627,1.0867865519937452,4.81391712275215,0.777951524628616,3.4096950742767786,1.8637431480031323,65904.33776387804,7.709422011084719,3.0961688819390147,4892.243940578577,5.0
std,91548.82862313426,91548.82862313426,8.133273891714856,1.4999652298340214,2.9220054793403456,0.7384680633516908,1.1408339827153329,0.3431955077588891,37662.70475065025,5.311557672783563,1.2761110803740574,1045.1791506140737,0.0
min,158.0,159.0,1.0,0.0,1.0,0.0,1.0,1.0,253.0,1.0,1.0,2011.0,5.0
25%,114695.0,114696.0,11.0,0.0,2.0,0.0,3.0,2.0,34787.0,4.0,2.0,4235.0,5.0
50%,205760.0,205761.0,19.0,0.0,5.0,1.0,3.0,2.0,65367.0,8.0,3.0,4788.0,5.0
75%,274232.0,274233.0,25.0,2.0,7.0,1.0,4.0,2.0,98458.5,8.0,4.0,5428.0,5.0
max,318382.0,318383.0,32.0,6.0,13.0,2.0,9.0,2.0,131617.0,35.0,10.0,9771.0,5.0
count,1262.0,1262.0,1262.0,1262.0,1262.0,1262.0,1262.0,1262.0,1262.0,1253.0,1262.0,1262.0,1262.0
mean,185419.8090332805,185420.8090332805,17.752773375594295,1.3827258320126783,4.642630744849446,0.8431061806656102,3.08716323296355,3.3898573692551506,66383.16085578447,6.937749401436553,3.155309033280507,4764.5,6.0
std,96236.89468313572,96236.89468313572,9.170378877964241,1.45842283425341,3.0968796126730926,0.8137083944064424,1.1666839770388342,0.48791109414139544,37656.54103722829,4.612729336040164,1.7589827077375613,1033.1583743103538,0.0
min,208.0,209.0,1.0,0.0,1.0,0.0,0.0,3.0,14.0,1.0,1.0,2202.0,6.0
25%,105537.0,105538.0,10.0,0.0,2.0,0.0,2.0,3.0,33829.0,4.0,2.0,4099.25,6.0
50%,199080.5,199081.5,18.0,1.0,4.0,1.0,3.0,3.0,68014.5,8.0,2.0,4693.5,6.0
75%,274991.5,274992.5,26.0,2.0,6.0,2.0,4.0,4.0,97643.5,8.0,4.0,5246.5,6.0
max,318288.0,318289.0,32.0,6.0,13.0,2.0,10.0,4.0,131591.0,28.0,16.0,9812.0,6.0
count,4244.0,4244.0,4244.0,4244.0,4244.0,4244.0,4244.0,4243.0,4244.0,4208.0,4244.0,4244.0,4244.0
mean,147866.25306314797,147867.25306314797,18.393025447690857,1.3786522148916116,4.696041470311028,0.7879359095193214,3.282516493873704,1.9580485505538534,65574.01060320453,6.950807984790875,2.8923185673892555,4981.814326107446,7.0
std,89202.92899806406,89202.92899806406,8.970983070452977,1.5729946018973504,3.150027159338872,0.7696123456122754,1.116611520508211,0.20050187031463487,38222.101802379955,4.786897209560883,1.1131792055827767,1030.1631597371852,0.0
min,181.0,182.0,1.0,0.0,1.0,0.0,1.0,1.0,68.0,1.0,1.0,2056.0,7.0
25%,72437.25,72438.25,11.0,0.0,2.0,0.0,2.0,2.0,32037.25,2.0,2.0,4310.75,7.0
50%,144673.0,144674.0,21.0,1.0,4.0,1.0,3.0,2.0,65266.0,8.0,2.5,4812.0,7.0
75%,221970.75,221971.75,26.0,2.0,6.0,1.0,4.0,2.0,98710.5,8.0,4.0,5470.0,7.0
max,318135.0,318136.0,32.0,6.0,13.0,2.0,9.0,2.0,131623.0,37.0,12.0,10218.0,7.0
count,1688.0,1688.0,1688.0,1688.0,1688.0,1688.0,1688.0,1688.0,1688.0,1672.0,1688.0,1688.0,1688.0
mean,131981.14454976303,131982.14454976303,18.527843601895736,1.2867298578199051,4.671208530805687,0.740521327014218,2.9549763033175354,3.3619668246445498,63496.748222748814,7.225478468899522,3.9869668246445498,4904.066943127962,8.0
std,84721.79117252637,84721.79117252637,8.684576444512162,1.5132731748524513,3.132569857959332,0.7537097900901041,1.2121148485507216,0.48071170201254315,38263.32923124853,4.741554879927952,2.8766081577558396,1192.2152259108063,0.0
min,6.0,7.0,1.0,0.0,1.0,0.0,1.0,3.0,33.0,1.0,1.0,1951.0,8.0
25%,59370.75,59371.75,11.0,0.0,2.0,0.0,2.0,3.0,30029.75,4.0,2.0,4135.0,8.0
50%,126101.0,126102.0,21.0,1.0,5.0,1.0,3.0,3.0,61285.0,8.0,3.0,4760.5,8.0
75%,196736.75,196737.75,26.0,2.0,6.0,1.0,4.0,4.0,96804.75,8.0,4.0,5480.25,8.0
max,317838.0,317839.0,32.0,6.0,13.0,2.0,21.0,4.0,131488.0,34.0,30.0,9540.0,8.0
count,1705.0,1705.0,1705.0,1705.0,1705.0,1705.0,1705.0,1705.0,1705.0,1682.0,1705.0,1705.0,1705.0
mean,205577.92961876834,205578.92961876834,17.79765395894428,1.3560117302052785,4.804105571847507,0.8252199413489736,3.2052785923753664,3.147214076246334,65338.73196480938,7.3109393579072535,2.961876832844575,4903.660997067449,9.0
std,92750.9611409318,92750.9611409318,9.117941047898658,1.483259654187444,3.163814931127532,0.7953486931739844,1.2010735838879776,0.6590153358968841,37582.95806773583,4.892440885716933,1.6037152424036079,1171.7796895654546,0.0
min,137.0,138.0,1.0,0.0,1.0,0.0,1.0,1.0,51.0,1.0,1.0,2095.0,9.0
25%,132564.0,132565.0,10.0,0.0,2.0,0.0,2.0,3.0,33275.0,4.0,2.0,4161.0,9.0
50%,231239.0,231240.0,18.0,1.0,5.0,1.0,3.0,3.0,64730.0,8.0,2.0,4711.0,9.0
75%,288541.0,288542.0,26.0,2.0,6.0,1.0,4.0,4.0,97642.0,8.0,4.0,5462.0,9.0
max,318347.0,318348.0,32.0,6.0,13.0,2.0,9.0,4.0,131569.0,34.0,16.0,10729.0,9.0
count,2408.0,2408.0,2408.0,2408.0,2408.0,2408.0,2408.0,2408.0,2408.0,2367.0,2408.0,2408.0,2408.0
mean,148516.92441860464,148517.92441860464,18.642857142857142,1.1985049833887043,4.746262458471761,0.7724252491694352,3.058970099667774,3.3118770764119603,66389.3903654485,7.482467258132657,3.7927740863787376,4789.479651162791,10.0
std,89729.71466737441,89729.71466737441,8.219083075801114,1.5317054447784193,3.061885337594457,0.7152238055615171,1.21983779933549,0.46335615492229065,38224.68243314376,4.687397105828714,2.206007798438881,1133.9085117803984,0.0
min,68.0,69.0,1.0,0.0,1.0,0.0,1.0,3.0,54.0,1.0,1.0,1943.0,10.0
25%,69156.0,69157.0,12.0,0.0,2.0,0.0,2.0,3.0,33857.0,5.0,2.0,4081.5,10.0
50%,144721.5,144722.5,19.0,1.0,5.0,1.0,3.0,3.0,67169.0,8.0,3.0,4675.0,10.0
75%,220598.0,220599.0,26.0,2.0,7.0,1.0,4.0,4.0,99265.25,8.0,4.0,5364.25,10.0
max,318356.0,318357.0,32.0,6.0,13.0,2.0,24.0,4.0,131619.0,33.0,20.0,10026.0,10.0
count,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1384.0,1368.0,1384.0,1384.0,1384.0
mean,139372.32514450868,139373.32514450868,19.041184971098264,0.9624277456647399,5.339595375722543,0.8634393063583815,3.36271676300578,1.5570809248554913,66631.67413294797,7.419590643274854,3.5578034682080926,4588.380057803468,11.0
std,84601.48824584969,84601.48824584969,7.390103623537943,1.47037416174999,2.806921279056255,0.6301591283508593,1.2251628442446503,0.49691063437128924,37798.24131156518,3.889583840358494,1.4848903303727612,1047.5935892972313,0.0
min,289.0,290.0,1.0,0.0,1.0,0.0,1.0,1.0,53.0,1.0,1.0,1909.0,11.0
25%,69460.75,69461.75,14.0,0.0,2.0,0.0,2.0,1.0,35519.25,7.0,2.0,3910.0,11.0
50%,132275.0,132276.0,19.0,0.0,6.0,1.0,3.0,2.0,66312.0,8.0,4.0,4459.5,11.0
75%,198861.75,198862.75,26.0,1.25,7.0,1.0,4.0,2.0,100220.75,8.0,4.0,5129.0,11.0
max,318124.0,318125.0,32.0,6.0,13.0,2.0,9.0,2.0,131494.0,37.0,12.0,9731.0,11.0
count,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1437.0,1450.0,1450.0,1450.0
mean,188538.43862068965,188539.43862068965,18.508275862068967,1.5055172413793103,4.962758620689655,0.86,3.4151724137931034,1.9793103448275862,66456.00275862069,7.457898399443285,2.7724137931034485,4899.3848275862065,12.0
std,94613.35515486792,94613.35515486792,9.202814130230276,1.6772862217733857,3.2602748305444016,0.7543661730097436,1.2477906512093195,0.3615197871260479,37884.27839527504,4.887359545187153,1.0744849831922665,1251.8203174393848,0.0
min,106.0,107.0,1.0,0.0,1.0,0.0,0.0,1.0,41.0,1.0,1.0,2123.0,12.0
25%,109366.25,109367.25,11.0,0.0,2.0,0.0,2.0,2.0,34656.75,5.0,2.0,4075.25,12.0
50%,201811.5,201812.5,22.0,1.0,5.0,1.0,3.0,2.0,66181.5,8.0,2.0,4688.0,12.0
75%,277443.25,277444.25,26.0,2.0,7.0,1.0,4.0,2.0,99588.0,8.0,4.0,5495.0,12.0
max,318093.0,318094.0,32.0,6.0,13.0,2.0,11.0,3.0,131459.0,30.0,9.0,10506.0,12.0
