,Unnamed: 0,case_id,Hospital,Hospital_type,Hospital_city,Hospital_region,Available_Extra_Rooms_in_Hospital,Bed_Grade,patientid,City_Code_Patient,Patient_Visitors,Admission_Deposit,clusters
75%,219800.0,219801.0,26.0,2.0,7.0,1.0,4.0,2.0,96914.5,8.0,4.0,4990.25,1.0
max,318103.0,318104.0,32.0,6.0,13.0,2.0,12.0,3.0,131594.0,37.0,12.0,10297.0,1.0
count,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2734.0,2782.0,2782.0,2782.0
mean,143527.97447879222,143528.97447879222,18.46764917325665,1.242271746944644,4.598130841121495,0.7764198418404026,2.883177570093458,3.4345794392523366,65458.43997124371,7.371250914411119,3.657800143781452,5232.172178289001,2.0
std,88490.93433355287,88490.93433355287,8.636587675874145,1.49729575755829,3.0384513102486053,0.7539738047485048,1.1369750346928016,0.4957907895389977,38379.051616587196,4.55900777498562,2.201812346965048,1217.102444829757,0.0
min,68.0,69.0,1.0,0.0,1.0,0.0,1.0,3.0,54.0,1.0,1.0,1885.0,2.0
25%,64790.0,64791.0,11.0,0.0,2.0,0.0,2.0,3.0,31603.0,5.0,2.0,4428.0,2.0
50%,141266.0,141267.0,19.0,1.0,4.0,1.0,3.0,3.0,67150.0,8.0,3.0,5118.5,2.0
75%,215448.25,215449.25,26.0,2.0,7.0,1.0,4.0,4.0,97944.0,8.0,4.0,5901.0,2.0
max,318290.0,318291.0,32.0,6.0,13.0,2.0,24.0,4.0,131619.0,33.0,20.0,11008.0,2.0
count,2219.0,2219.0,2219.0,2219.0,2219.0,2219.0,2219.0,2217.0,2219.0,2192.0,2219.0,2219.0,2219.0
mean,137457.25191527716,137458.25191527716,18.98377647589004,1.1482649842271293,5.0775123929698065,0.8445245606128887,3.3150067598017126,1.543978349120433,65529.579540333485,7.237226277372263,3.388913925191528,4795.704371338441,3.0
std,84826.07214801115,84826.07214801115,8.02367484130754,1.5560204524417942,2.9710557328840457,0.6799196941824612,1.2302195576434263,0.4981745155128664,37690.77668992709,4.039549026517529,1.4280721684763646,1151.406316593588,0.0
min,19.0,20.0,1.0,0.0,1.0,0.0,1.0,1.0,53.0,1.0,1.0,1890.0,3.0
25%,68354.0,68355.0,13.0,0.0,2.0,0.0,2.0,1.0,33917.0,5.0,2.0,4035.5,3.0
50%,129181.0,129182.0,19.0,0.0,5.0,1.0,3.0,2.0,64297.0,8.0,3.0,4609.0,3.0
75%,200449.5,200450.5,26.0,2.0,7.0,1.0,4.0,2.0,98969.0,8.0,4.0,5394.0,3.0
max,318124.0,318125.0,32.0,6.0,13.0,2.0,9.0,2.0,131494.0,37.0,12.0,10506.0,3.0
count,2983.0,2983.0,2983.0,2983.0,2983.0,2983.0,2983.0,2983.0,2983.0,2944.0,2983.0,2983.0,2983.0
mean,173232.9409989943,173233.9409989943,18.033188065705666,1.3198122695273216,4.60945357023131,0.7432115320147502,3.270868253436138,3.266174991619175,65696.49480388871,7.076766304347826,3.1957760643647335,4781.136775058666,4.0
std,93009.13037785272,93009.13037785272,8.889999852536574,1.5223463013357998,3.1597322540488806,0.7819432777245233,1.216521970469782,0.5194593797091343,37654.48065286047,4.663704127915322,1.7793874162002843,951.0491601888062,0.0
min,137.0,138.0,1.0,0.0,1.0,0.0,1.0,2.0,29.0,1.0,1.0,2095.0,4.0
25%,92700.5,92701.5,11.0,0.0,2.0,0.0,2.0,3.0,33306.5,4.0,2.0,4188.0,4.0
50%,184353.0,184354.0,20.0,1.0,4.0,1.0,3.0,3.0,65246.0,8.0,2.0,4724.0,4.0
75%,252482.5,252483.5,26.0,2.0,6.0,1.0,4.0,4.0,98113.5,8.0,4.0,5240.5,4.0
max,318335.0,318336.0,32.0,6.0,13.0,2.0,21.0,4.0,131608.0,32.0,16.0,10729.0,4.0
count,1589.0,1589.0,1589.0,1589.0,1589.0,1589.0,1589.0,1589.0,1589.0,1573.0,1589.0,1589.0,1589.0
mean,183971.52359974827,183972.52359974827,18.021397105097545,1.435494021397105,4.83763373190686,0.828823159219635,3.1126494650723724,2.620516047828823,66455.27564505978,7.200890019071838,3.039647577092511,4896.15796098175,5.0
std,95041.7622019784,95041.7622019784,9.18900587818051,1.566059675603837,3.225968066177962,0.7869527602843973,1.1140379008042052,0.745334429037599,37630.51114949589,4.662701793105945,1.5429416364049948,1251.5379358539167,0.0
min,106.0,107.0,1.0,0.0,1.0,0.0,1.0,1.0,41.0,1.0,1.0,2197.0,5.0
25%,106841.0,106842.0,10.0,0.0,2.0,0.0,2.0,2.0,34644.0,4.0,2.0,4046.0,5.0
50%,192512.0,192513.0,21.0,1.0,5.0,1.0,3.0,2.0,67237.0,8.0,2.0,4638.0,5.0
75%,273535.0,273536.0,26.0,2.0,6.0,1.0,4.0,3.0,99351.0,8.0,4.0,5568.0,5.0
max,318273.0,318274.0,32.0,6.0,13.0,2.0,9.0,4.0,131591.0,34.0,16.0,10026.0,5.0
count,1113.0,1113.0,1113.0,1113.0,1113.0,1113.0,1113.0,1113.0,1113.0,1098.0,1113.0,1113.0,1113.0
mean,157253.91105121293,157254.91105121293,17.878706199460918,1.3405211141060198,4.556154537286613,0.788858939802336,3.1608265947888587,3.9883198562443845,66285.25696316262,6.867941712204007,3.9020664869721475,4557.738544474393,6.0
std,93953.15801038449,93953.15801038449,8.934142805949143,1.4604936886295727,3.0488735302460284,0.7987072799924286,1.1622865857840399,0.1074899950638581,38608.515204654155,4.954105830889671,3.1280129715606626,821.3916275809669,0.0
min,1137.0,1138.0,1.0,0.0,1.0,0.0,0.0,3.0,134.0,1.0,1.0,2202.0,6.0
25%,74388.0,74389.0,10.0,0.0,2.0,0.0,2.0,4.0,33023.0,2.0,2.0,4043.0,6.0
50%,149709.0,149710.0,18.0,1.0,4.0,1.0,3.0,4.0,65293.0,7.5,3.0,4555.0,6.0
75%,242373.0,242374.0,26.0,2.0,6.0,1.0,4.0,4.0,98340.0,8.0,4.0,5020.0,6.0
max,318405.0,318406.0,32.0,6.0,13.0,2.0,10.0,4.0,131528.0,31.0,32.0,7562.0,6.0
count,2864.0,2864.0,2864.0,2864.0,2864.0,2864.0,2864.0,2863.0,2864.0,2839.0,2864.0,2864.0,2864.0
mean,168925.3505586592,168926.3505586592,18.4713687150838,1.0122206703910615,4.923882681564246,0.8198324022346368,3.545391061452514,1.8201187565490744,64867.92388268156,7.575202536104262,3.170391061452514,4708.005237430168,7.0
std,91715.01268116657,91715.01268116657,7.822463605639641,1.4535024336657065,2.8653205095203016,0.7089649762869055,1.1389799350096488,0.38415560320170977,37983.48105032576,4.700834880736449,1.281106037652818,1054.8514819358088,0.0
min,94.0,95.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,1.0,1.0,1929.0,7.0
25%,94448.25,94449.25,12.0,0.0,2.0,0.0,3.0,2.0,31902.25,5.0,2.0,4101.75,7.0
50%,170507.5,170508.5,19.0,0.0,5.0,1.0,4.0,2.0,63969.0,8.0,3.0,4570.5,7.0
75%,254327.75,254328.75,25.0,2.0,7.0,1.0,4.0,2.0,97317.5,8.0,4.0,5080.0,7.0
max,318382.0,318383.0,32.0,6.0,13.0,2.0,10.0,2.0,131617.0,33.0,12.0,10218.0,7.0
count,4751.0,4751.0,4751.0,4751.0,4751.0,4751.0,4751.0,4750.0,4751.0,4704.0,4751.0,4751.0,4751.0
mean,163591.36076615448,163592.36076615448,18.263733950747213,1.3298252999368554,4.748263523468744,0.7756261839612714,3.4310671437592086,2.304842105263158,65082.10713533993,7.035076530612245,2.9827404756893285,4647.498000420964,8.0
std,93825.7188645502,93825.7188645502,8.952935906108516,1.5418487709990747,3.178841999486394,0.7700741607626215,1.1865185242266012,0.5545783013712783,38086.075320318065,4.8583860516739,1.4216806006685057,862.1546662722114,0.0
min,222.0,223.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,1.0,1.0,1949.0,8.0
25%,80727.5,80728.5,11.0,0.0,2.0,0.0,3.0,2.0,31722.5,2.0,2.0,4112.5,8.0
50%,165244.0,165245.0,21.0,1.0,5.0,1.0,3.0,2.0,64607.0,8.0,2.0,4575.0,8.0
75%,246144.5,246145.5,26.0,2.0,6.0,1.0,4.0,3.0,97787.5,8.0,4.0,5099.0,8.0
max,318287.0,318288.0,32.0,6.0,13.0,2.0,10.0,3.0,131620.0,37.0,14.0,8244.0,8.0
count,1507.0,1507.0,1507.0,1507.0,1507.0,1507.0,1507.0,1507.0,1507.0,1490.0,1507.0,1507.0,1507.0
mean,165250.0690112807,165251.0690112807,18.078964830789648,1.327803583278036,4.6542800265428,0.7299270072992701,2.878566688785667,3.2601194426011944,66606.86794956868,7.446979865771812,3.2249502322495025,5147.218314532183,9.0
std,90891.7789981329,90891.7789981329,8.97789831516602,1.5340459030214164,3.231534516997718,0.7938509917226065,1.08557415731388,0.5306246653942773,37679.91954752623,4.958275294376668,1.6926412623685665,967.0236250221305,0.0
min,116.0,117.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,2122.0,9.0
25%,89228.0,89229.0,11.0,0.0,2.0,0.0,2.0,3.0,34739.5,4.0,2.0,4514.5,9.0
50%,171227.0,171228.0,21.0,1.0,4.0,1.0,3.0,3.0,67669.0,8.0,3.0,5071.0,9.0
75%,242992.5,242993.5,26.0,2.0,6.0,1.0,4.0,4.0,98759.5,8.0,4.0,5677.0,9.0
max,318347.0,318348.0,32.0,6.0,13.0,2.0,10.0,4.0,131349.0,37.0,16.0,9812.0,9.0
count,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,480.0,491.0,491.0,491.0
mean,185127.82077393075,185128.82077393075,18.85132382892057,1.329938900203666,4.653767820773931,0.8553971486761711,3.0366598778004072,3.488798370672098,64929.43380855397,7.727083333333334,2.973523421588595,6841.329938900204,10.0
std,94020.14118611824,94020.14118611824,8.787763598335298,1.5081749331268761,3.0274730250509854,0.8065208697731314,1.1860929878881907,0.558219456220815,38537.06278902563,5.364237862243611,1.5692555133843067,1142.817756955166,0.0
min,1149.0,1150.0,1.0,0.0,1.0,0.0,1.0,2.0,369.0,1.0,1.0,4985.0,10.0
25%,111992.0,111993.0,11.0,0.0,2.0,0.0,2.0,3.0,32630.0,4.75,2.0,5924.0,10.0
50%,200741.0,200742.0,21.0,1.0,4.0,1.0,3.0,4.0,62933.0,8.0,2.0,6721.0,10.0
75%,267317.0,267318.0,26.0,2.0,6.0,2.0,4.0,4.0,98094.5,8.0,4.0,7586.5,10.0
max,317330.0,317331.0,32.0,6.0,13.0,2.0,11.0,4.0,131460.0,28.0,12.0,10506.0,10.0
count,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2444.0,2492.0,2492.0,2492.0
mean,166830.84028892455,166831.84028892455,18.250802568218297,1.1629213483146068,4.469502407704655,0.7387640449438202,3.346308186195827,3.2387640449438204,65947.43418940609,7.584288052373159,3.4530497592295344,4975.665329052969,11.0
std,93859.32521311153,93859.32521311153,8.2410553531661,1.511079638888678,2.9963635248308567,0.7418594454990277,1.207519601099104,0.600058672783076,38258.95282651967,5.028190552248603,1.8202556741626983,1187.0227394181616,0.0
min,769.0,770.0,1.0,0.0,1.0,0.0,1.0,2.0,64.0,1.0,1.0,1943.0,11.0
25%,80710.75,80711.75,11.0,0.0,2.0,0.0,2.0,3.0,33037.25,4.0,2.0,4215.5,11.0
50%,169847.5,169848.5,19.0,1.0,4.0,1.0,3.0,3.0,64644.0,8.0,3.0,4838.0,11.0
75%,249715.25,249716.25,26.0,2.0,7.0,1.0,4.0,4.0,99506.25,8.0,4.0,5592.0,11.0
max,318356.0,318357.0,32.0,6.0,13.0,2.0,9.0,4.0,131624.0,37.0,16.0,10026.0,11.0
count,5283.0,5283.0,5283.0,5283.0,5283.0,5283.0,5283.0,5282.0,5283.0,5215.0,5283.0,5283.0,5283.0
mean,148766.8536816203,148767.8536816203,18.67537384062086,1.2407722884724588,5.00132500473216,0.7635812985046375,2.998485708877532,2.1440742143127602,66402.71644898732,7.199232981783317,3.239825856520916,4965.685973878478,12.0
std,89828.49070741229,89828.49070741229,8.485663635879312,1.587158428136862,3.117143383141894,0.7212511009826893,1.0917739894720244,0.5310576747508289,38381.71259585046,4.601245577179366,1.4611684959928264,997.7069034203639,0.0
min,70.0,71.0,1.0,0.0,1.0,0.0,1.0,1.0,68.0,1.0,1.0,1941.0,12.0
25%,72110.5,72111.5,11.0,0.0,2.0,0.0,2.0,2.0,33347.0,4.0,2.0,4342.0,12.0
50%,144383.0,144384.0,19.0,1.0,5.0,1.0,3.0,2.0,66442.0,8.0,3.0,4885.0,12.0
75%,225060.5,225061.5,26.0,2.0,7.0,1.0,4.0,2.0,98981.0,8.0,4.0,5487.0,12.0
max,318308.0,318309.0,32.0,6.0,13.0,2.0,11.0,3.0,131623.0,35.0,18.0,10218.0,12.0
