,Unnamed: 0,case_id,Hospital,Hospital_type,Hospital_city,Hospital_region,Available_Extra_Rooms_in_Hospital,Bed_Grade,patientid,City_Code_Patient,Patient_Visitors,Admission_Deposit,clusters
50%,144162.0,144163.0,19.0,1.0,5.0,1.0,3.0,2.0,65170.0,8.0,3.0,4744.0,1.0
75%,223617.0,223618.0,26.0,2.0,7.0,1.0,4.0,3.0,98311.0,8.0,4.0,5401.0,1.0
max,318405.0,318406.0,32.0,6.0,13.0,2.0,10.0,4.0,131623.0,37.0,32.0,11008.0,1.0
count,3510.0,3510.0,3510.0,3510.0,3510.0,3510.0,3510.0,3508.0,3510.0,3445.0,3510.0,3510.0,3510.0
mean,179365.95754985756,179366.95754985756,18.06182336182336,1.13988603988604,4.567521367521367,0.7336182336182336,3.243019943019943,2.7802166476624857,65840.49116809116,7.651959361393324,3.339031339031339,4925.533048433049,2.0
std,92997.25962306336,92997.25962306336,8.221734472392994,1.5093813176036803,3.0054333544937624,0.7416165917220475,1.157539866849872,0.8115130772691088,38228.08064334816,5.0591650276021785,1.6452694527387706,1064.6840187356222,0.0
min,86.0,87.0,1.0,0.0,1.0,0.0,1.0,1.0,59.0,1.0,1.0,2011.0,2.0
25%,102740.5,102741.5,11.0,0.0,2.0,0.0,2.0,2.0,33089.75,5.0,2.0,4239.0,2.0
50%,190184.0,190185.0,19.0,0.0,5.0,1.0,3.0,3.0,65573.5,8.0,3.0,4807.0,2.0
75%,261674.0,261675.0,25.0,2.0,7.0,1.0,4.0,3.0,98710.25,8.0,4.0,5457.0,2.0
max,318435.0,318436.0,32.0,6.0,13.0,2.0,9.0,4.0,131624.0,37.0,16.0,10314.0,2.0
count,5075.0,5075.0,5075.0,5075.0,5075.0,5075.0,5075.0,5074.0,5075.0,4998.0,5075.0,5075.0,5075.0
mean,181169.2906403941,181170.2906403941,18.086896551724138,1.3075862068965518,4.651428571428571,0.741871921182266,3.145615763546798,3.1379582183681514,65884.95684729064,7.224289715886354,3.0528078817733992,5056.972413793103,3.0
std,92779.69925283361,92779.69925283361,8.934181863037205,1.5210296915681638,3.1776458918582455,0.7868965571867818,1.1558995008383794,0.6442254753327213,37755.09725829555,4.872017670268235,1.5984230186554944,1096.4352174541348,0.0
min,79.0,80.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2118.0,3.0
25%,109424.5,109425.5,11.0,0.0,2.0,0.0,2.0,3.0,33572.5,4.0,2.0,4353.5,3.0
50%,194235.0,194236.0,21.0,1.0,4.0,1.0,3.0,3.0,65970.0,8.0,2.0,4897.0,3.0
75%,261476.0,261477.0,26.0,2.0,6.0,1.0,4.0,4.0,98281.5,8.0,4.0,5564.5,3.0
max,318347.0,318348.0,32.0,6.0,13.0,2.0,10.0,4.0,131608.0,37.0,16.0,10366.0,3.0
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,211015.33333333334,211016.33333333334,25.5,0.5,3.6666666666666665,0.5,3.5,4.0,59488.166666666664,6.666666666666667,17.0,3104.3333333333335,4.0
std,89741.09707523453,89741.09707523453,2.258317958127243,0.5477225575051661,1.9663841605003503,0.5477225575051661,1.6431676725154984,0.0,47972.43848468271,8.406346808612327,3.687817782917155,1159.7954417338717,0.0
min,54246.0,54247.0,23.0,0.0,2.0,0.0,2.0,4.0,1503.0,1.0,14.0,2160.0,4.0
25%,181163.0,181164.0,23.75,0.0,2.0,0.0,2.25,4.0,22117.25,1.25,15.0,2464.75,4.0
50%,246091.0,246092.0,26.0,0.5,3.0,0.5,3.0,4.0,63118.0,4.0,15.5,2633.5,4.0
75%,253485.0,253486.0,26.0,1.0,5.5,1.0,4.5,4.0,87714.75,6.75,17.5,3284.5,4.0
max,304194.0,304195.0,29.0,1.0,6.0,1.0,6.0,4.0,124826.0,23.0,24.0,5289.0,4.0
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,283897.0,283898.0,19.6,1.0,3.8,0.8,4.2,3.2,44921.2,7.6,9.6,4443.8,5.0
std,27094.300479990252,27094.300479990252,9.044335243676011,1.224744871391589,1.7888543819998317,0.8366600265340756,3.03315017762062,0.4472135954999579,45997.73575623043,5.029910535983716,4.33589667773576,1586.1548474219028,0.0
min,243271.0,243272.0,9.0,0.0,2.0,0.0,1.0,3.0,8943.0,1.0,6.0,2760.0,5.0
25%,274437.0,274438.0,11.0,0.0,2.0,0.0,3.0,3.0,13562.0,6.0,6.0,3162.0,5.0
50%,287348.0,287349.0,23.0,1.0,4.0,1.0,3.0,3.0,19204.0,8.0,8.0,4441.0,5.0
75%,300246.0,300247.0,26.0,1.0,5.0,1.0,5.0,3.0,67011.0,8.0,12.0,5160.0,5.0
max,314183.0,314184.0,29.0,3.0,6.0,2.0,9.0,4.0,115886.0,15.0,16.0,6696.0,5.0
count,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,763.0,768.0,768.0,768.0
mean,154442.96614583334,154443.96614583334,18.376302083333332,1.5442708333333333,4.76953125,0.9309895833333334,3.1875,2.2669270833333335,65354.139322916664,7.235910878112713,3.0078125,4626.287760416667,6.0
std,91760.84944752482,91760.84944752482,9.112240052354288,1.569965325548497,3.1490995445771164,0.7805845166513429,1.2345525294003337,0.9784376418180945,36882.9395087112,4.614756662887402,1.481724006010216,1146.168963362252,0.0
min,137.0,138.0,1.0,0.0,1.0,0.0,1.0,1.0,68.0,1.0,1.0,1841.0,6.0
25%,75196.75,75197.75,11.0,0.0,2.0,0.0,2.0,2.0,33307.25,4.0,2.0,3930.25,6.0
50%,149421.0,149422.0,21.0,1.0,4.0,1.0,3.0,2.0,65536.5,8.0,2.0,4508.0,6.0
75%,231367.5,231368.5,26.0,2.0,6.0,2.0,4.0,3.0,96787.0,8.0,4.0,5159.0,6.0
max,317957.0,317958.0,32.0,6.0,13.0,2.0,12.0,4.0,131594.0,28.0,16.0,10729.0,6.0
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,278631.0,278632.0,27.0,0.0,7.0,1.0,24.0,3.0,11053.0,5.0,2.0,4052.0,7.0
std,,,,,,,,,,,,,
min,278631.0,278632.0,27.0,0.0,7.0,1.0,24.0,3.0,11053.0,5.0,2.0,4052.0,7.0
25%,278631.0,278632.0,27.0,0.0,7.0,1.0,24.0,3.0,11053.0,5.0,2.0,4052.0,7.0
50%,278631.0,278632.0,27.0,0.0,7.0,1.0,24.0,3.0,11053.0,5.0,2.0,4052.0,7.0
75%,278631.0,278632.0,27.0,0.0,7.0,1.0,24.0,3.0,11053.0,5.0,2.0,4052.0,7.0
max,278631.0,278632.0,27.0,0.0,7.0,1.0,24.0,3.0,11053.0,5.0,2.0,4052.0,7.0
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
mean,150268.5,150269.5,24.5,0.5,4.0,0.5,7.0,2.0,102439.5,5.0,16.5,7846.0,8.0
std,86331.37402184677,86331.37402184677,2.1213203435596424,0.7071067811865476,2.8284271247461903,0.7071067811865476,5.656854249492381,0.0,37426.454821422776,4.242640687119285,2.1213203435596424,302.64170234784234,0.0
min,89223.0,89224.0,23.0,0.0,2.0,0.0,3.0,2.0,75975.0,2.0,15.0,7632.0,8.0
25%,119745.75,119746.75,23.75,0.25,3.0,0.25,5.0,2.0,89207.25,3.5,15.75,7739.0,8.0
50%,150268.5,150269.5,24.5,0.5,4.0,0.5,7.0,2.0,102439.5,5.0,16.5,7846.0,8.0
75%,180791.25,180792.25,25.25,0.75,5.0,0.75,9.0,2.0,115671.75,6.5,17.25,7953.0,8.0
max,211314.0,211315.0,26.0,1.0,6.0,1.0,11.0,2.0,128904.0,8.0,18.0,8060.0,8.0
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,273949.0,273950.0,6.0,0.0,6.0,0.0,2.0,1.0,124065.0,8.0,2.0,4701.0,9.0
std,,,,,,,,,,,,,
min,273949.0,273950.0,6.0,0.0,6.0,0.0,2.0,1.0,124065.0,8.0,2.0,4701.0,9.0
25%,273949.0,273950.0,6.0,0.0,6.0,0.0,2.0,1.0,124065.0,8.0,2.0,4701.0,9.0
50%,273949.0,273950.0,6.0,0.0,6.0,0.0,2.0,1.0,124065.0,8.0,2.0,4701.0,9.0
75%,273949.0,273950.0,6.0,0.0,6.0,0.0,2.0,1.0,124065.0,8.0,2.0,4701.0,9.0
max,273949.0,273950.0,6.0,0.0,6.0,0.0,2.0,1.0,124065.0,8.0,2.0,4701.0,9.0
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
mean,197828.5,197829.5,20.5,1.5,3.5,1.5,16.5,4.0,31893.5,8.0,5.0,5989.0,10.0
std,88199.55013774164,88199.55013774164,7.7781745930520225,0.7071067811865476,2.1213203435596424,0.7071067811865476,6.363961030678928,0.0,21406.243586860353,0.0,4.242640687119285,1711.198410471445,0.0
min,135462.0,135463.0,15.0,1.0,2.0,1.0,12.0,4.0,16757.0,8.0,2.0,4779.0,10.0
25%,166645.25,166646.25,17.75,1.25,2.75,1.25,14.25,4.0,24325.25,8.0,3.5,5384.0,10.0
50%,197828.5,197829.5,20.5,1.5,3.5,1.5,16.5,4.0,31893.5,8.0,5.0,5989.0,10.0
75%,229011.75,229012.75,23.25,1.75,4.25,1.75,18.75,4.0,39461.75,8.0,6.5,6594.0,10.0
max,260195.0,260196.0,26.0,2.0,5.0,2.0,21.0,4.0,47030.0,8.0,8.0,7199.0,10.0
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,53633.0,53634.0,20.833333333333332,0.8333333333333334,5.666666666666667,0.5,2.6666666666666665,3.0,100134.66666666667,6.833333333333333,22.0,7620.833333333333,11.0
std,42887.08861650555,42887.08861650555,9.724539406402068,0.408248290463863,4.412104562073146,0.5477225575051661,1.0327955589886446,0.0,38302.98814278942,5.269408568963567,5.621387729022079,1131.607249299273,0.0
min,1363.0,1364.0,6.0,0.0,2.0,0.0,2.0,3.0,32738.0,1.0,15.0,5780.0,11.0
25%,16607.25,16608.25,14.75,1.0,2.0,0.0,2.0,3.0,85565.5,2.75,17.75,7103.5,11.0
50%,65472.5,65473.5,26.0,1.0,4.0,0.5,2.0,3.0,117130.5,8.0,23.5,7842.5,11.0
75%,80485.75,80486.75,27.5,1.0,9.75,1.0,3.5,3.0,124740.5,8.0,24.0,8496.0,11.0
max,103681.0,103682.0,28.0,1.0,11.0,1.0,4.0,3.0,131488.0,15.0,30.0,8689.0,11.0
count,2709.0,2709.0,2709.0,2709.0,2709.0,2709.0,2709.0,2709.0,2709.0,2687.0,2709.0,2709.0,2709.0
mean,186977.7906976744,186978.7906976744,18.15356220007383,1.449612403100775,4.814691768180141,0.8527131782945736,3.260612772240679,2.634920634920635,66424.84791435955,7.214737625604764,2.9405684754521966,4835.957918050941,12.0
std,95357.93444504977,95357.93444504977,9.195001333827399,1.5804814923917745,3.1898898211008926,0.7825253022415807,1.2159706845201037,0.822041382139589,37764.33857779543,4.766361732606524,1.411525611231482,1157.0268731028775,0.0
min,106.0,107.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,1.0,1.0,2123.0,12.0
25%,106859.0,106860.0,10.0,0.0,2.0,0.0,2.0,2.0,34316.0,4.0,2.0,4080.0,12.0
50%,200445.0,200446.0,21.0,1.0,5.0,1.0,3.0,2.0,66981.0,8.0,2.0,4690.0,12.0
75%,276117.0,276118.0,26.0,2.0,6.0,1.0,4.0,3.0,98492.0,8.0,4.0,5378.0,12.0
max,318288.0,318289.0,32.0,6.0,13.0,2.0,11.0,4.0,131591.0,30.0,15.0,10506.0,12.0
